Source,Target,Weight
446428,320554,263
320554,446428,1
440818,490441,1900
408281,490441,71
490441,408281,59
490441,440818,1867
317057,461811,1
317180,234101,9
234101,317180,1761
253678,409787,30
253678,409787,34
342664,409787,1
409787,342664,40
409787,253678,60
409787,317057,2
409787,253678,58
287328,317057,1
277661,41379,5449
277661,41379,4314
408281,41379,5
41379,408281,80
41379,317057,1
41379,277661,377
41379,277661,366
440818,206676,7
408281,206676,16
206676,408281,69
206676,440818,183
421209,455132,5
408281,455132,6
455132,317057,2
455132,421209,87
455132,408281,77
393782,317057,1
484238,317057,21
152133,80834,247
80834,152133,2
284760,50897,6
447529,317057,1
440818,409777,4
409777,440818,8
421209,97470,1328
203822,97470,1465
408281,97470,4
203822,97470,1
97470,317057,1
97470,421209,13
97470,203822,7
323283,190346,1
446428,190346,3
190346,317057,1
317180,412809,417
412809,317180,129
35025,294198,1249
35025,294198,1283
294198,35025,2800
294198,35025,2762
63694,205344,1
421209,205302,25
408281,114987,1
114987,317057,1
114987,408281,1
446428,162910,67
162910,446428,3
317180,278766,4
278766,317057,1
278766,317180,78
323283,446428,1
446428,74083,1
446428,323283,37
446428,74083,70
348205,408281,5
317057,277661,241
277661,317057,1
284760,338415,1336
284760,338415,1365
338415,284760,34
338415,284760,33
408281,92708,1
92708,408281,50
457073,145393,152
457073,145393,5
264931,145393,375
421209,145393,755
408281,145393,1
145393,264931,40
145393,421209,2
145393,457073,3
25540,317057,16
253678,317057,1
143091,408281,2
287116,317057,2
408281,74083,17
74083,408281,183
408281,83127,4
83127,408281,35
421209,279381,1
408281,279381,4
279381,408281,1
421209,158321,6
408281,158321,51
158321,408281,81
89335,317057,1
152133,183679,2
317180,183679,122
183679,317180,534
152133,438832,32
440818,348749,11
348749,440818,1072
317057,77090,911
408281,77090,1
77090,408281,1
77090,317057,3
421209,140608,114
203822,140608,559
203822,140608,571
140608,421209,2
140608,317057,1
140608,203822,2
317180,257009,116
257009,317180,1379
293596,92883,957
293596,92883,917
421209,92883,384
317057,92883,1
92883,317057,2
92883,293596,57
92883,421209,2
